LGA Name,Tenure type,"Very low income
<50% median income","Low income
<80% median income","Moderate income
<120% median income",Total
Onkaparinga (C),Total households,4506,7711,11943,16170
Orroroo/Carrieton (DC),Being purchased (incl rent/buy),6,9,15,21
Orroroo/Carrieton (DC),Rented: Public,3,3,3,3
Orroroo/Carrieton (DC),Rented: Private and not stated,6,6,6,6
Orroroo/Carrieton (DC),Rented: Other landlord,0,0,0,0
Orroroo/Carrieton (DC),Rented: TOTAL,9,9,9,9
Orroroo/Carrieton (DC),Other tenure types,0,0,0,0
Orroroo/Carrieton (DC),Total households,15,18,24,30
Peterborough (DC),Being purchased (incl rent/buy),48,58,66,69
Peterborough (DC),Rented: Public,9,9,9,9
Peterborough (DC),Rented: Private and not stated,32,35,35,35
Peterborough (DC),Rented: Other landlord,0,0,0,0
Peterborough (DC),Rented: TOTAL,41,44,44,44
Peterborough (DC),Other tenure types,0,0,0,0
Peterborough (DC),Total households,89,102,110,113
Playford (C),Being purchased (incl rent/buy),737,1580,2955,4285
Playford (C),Rented: Public,1029,1229,1249,1249
Playford (C),Rented: Private and not stated,1566,2719,3280,3308
Playford (C),Rented: Other landlord,220,278,303,303
Playford (C),Rented: TOTAL,2815,4226,4832,4860
Playford (C),Other tenure types,0,0,0,0
Playford (C),Total households,3552,5806,7787,9145
Port Adelaide Enfield (C),Being purchased (incl rent/buy),686,1438,2959,5475
Port Adelaide Enfield (C),Rented: Public,1553,1849,1927,1936
Port Adelaide Enfield (C),Rented: Private and not stated,1761,3018,4231,4417
Port Adelaide Enfield (C),Rented: Other landlord,439,584,639,639
Port Adelaide Enfield (C),Rented: TOTAL,3753,5451,6797,6992
Port Adelaide Enfield (C),Other tenure types,0,0,0,0
Port Adelaide Enfield (C),Total households,4439,6889,9756,12467
Port Augusta (C),Being purchased (incl rent/buy),62,121,220,351
Port Augusta (C),Rented: Public,203,237,240,240
Port Augusta (C),Rented: Private and not stated,192,273,303,303
Port Augusta (C),Rented: Other landlord,22,22,26,26
Port Augusta (C),Rented: TOTAL,417,532,569,569
Port Augusta (C),Other tenure types,0,0,0,0
Port Augusta (C),Total households,479,653,789,920
Port Lincoln (C),Being purchased (incl rent/buy),77,180,358,539
Port Lincoln (C),Rented: Public,157,190,190,190
Port Lincoln (C),Rented: Private and not stated,277,419,497,501
Port Lincoln (C),Rented: Other landlord,30,36,39,39
Port Lincoln (C),Rented: TOTAL,464,645,726,730
Port Lincoln (C),Other tenure types,0,0,0,0
Port Lincoln (C),Total households,541,825,1084,1269
Port Pirie City and Districts (M),Being purchased (incl rent/buy),178,299,427,562
Port Pirie City and Districts (M),Rented: Public,210,229,229,229
Port Pirie City and Districts (M),Rented: Private and not stated,401,534,563,563
Port Pirie City and Districts (M),Rented: Other landlord,27,38,38,38
Port Pirie City and Districts (M),Rented: TOTAL,638,801,830,830
Port Pirie City and Districts (M),Other tenure types,0,0,0,0
Port Pirie City and Districts (M),Total households,816,1100,1257,1392
Prospect (C),Being purchased (incl rent/buy),73,149,311,848
Prospect (C),Rented: Public,67,80,86,86
Prospect (C),Rented: Private and not stated,294,509,763,838
Prospect (C),Rented: Other landlord,65,79,95,95
Prospect (C),Rented: TOTAL,426,668,944,1019
Prospect (C),Other tenure types,0,0,0,0
Prospect (C),Total households,499,817,1255,1867
Renmark Paringa (DC),Being purchased (incl rent/buy),78,162,271,364
Renmark Paringa (DC),Rented: Public,33,40,40,40
Renmark Paringa (DC),Rented: Private and not stated,189,250,256,256
Renmark Paringa (DC),Rented: Other landlord,37,41,41,41
Renmark Paringa (DC),Rented: TOTAL,259,331,337,337
Renmark Paringa (DC),Other tenure types,0,0,0,0
Renmark Paringa (DC),Total households,337,493,608,701
Robe (DC),Being purchased (incl rent/buy),13,22,34,48
Robe (DC),Rented: Public,4,4,4,4
Robe (DC),Rented: Private and not stated,24,36,36,36
Robe (DC),Rented: Other landlord,0,0,0,3
Robe (DC),Rented: TOTAL,28,40,40,43
Robe (DC),Other tenure types,0,0,0,0
Robe (DC),Total households,41,62,74,91
Roxby Downs (M),Being purchased (incl rent/buy),7,15,23,71
Roxby Downs (M),Rented: Public,0,0,0,3
Roxby Downs (M),Rented: Private and not stated,4,8,22,82
Roxby Downs (M),Rented: Other landlord,4,4,7,14
Roxby Downs (M),Rented: TOTAL,8,12,29,99
Roxby Downs (M),Other tenure types,0,0,0,0
Roxby Downs (M),Total households,15,27,52,170
Salisbury (C),Being purchased (incl rent/buy),1124,2405,4877,7541
Salisbury (C),Rented: Public,878,1108,1141,1141
Salisbury (C),Rented: Private and not stated,1672,2916,4052,4179
Salisbury (C),Rented: Other landlord,303,424,475,475
Salisbury (C),Rented: TOTAL,2853,4448,5668,5795
Salisbury (C),Other tenure types,0,0,0,0
Salisbury (C),Total households,3977,6853,10545,13336
South Australia,Being purchased (incl rent/buy),10218,20632,40727,73904
South Australia,Rented: Public,11015,13090,13473,13503
South Australia,Rented: Private and not stated,23167,37838,50509,53333
South Australia,Rented: Other landlord,3946,4922,5394,5457
South Australia,Rented: TOTAL,38128,55850,69376,72293
South Australia,Other tenure types,0,0,0,6
South Australia,Total households,48346,76482,110103,146203
Southern Mallee (DC),Being purchased (incl rent/buy),17,32,42,48
Southern Mallee (DC),Rented: Public,3,3,3,3
Southern Mallee (DC),Rented: Private and not stated,23,23,23,23
Southern Mallee (DC),Rented: Other landlord,3,3,3,3
Southern Mallee (DC),Rented: TOTAL,29,29,29,29
Southern Mallee (DC),Other tenure types,0,0,0,0
Southern Mallee (DC),Total households,46,61,71,77
Streaky Bay (DC),Being purchased (incl rent/buy),19,27,38,51
Streaky Bay (DC),Rented: Public,5,5,5,5
Streaky Bay (DC),Rented: Private and not stated,25,36,36,36
Streaky Bay (DC),Rented: Other landlord,0,0,3,3
Streaky Bay (DC),Rented: TOTAL,30,41,44,44
Streaky Bay (DC),Other tenure types,0,0,0,0
Streaky Bay (DC),Total households,49,68,82,95
Tatiara (DC),Being purchased (incl rent/buy),62,115,182,231
Tatiara (DC),Rented: Public,17,20,20,20
Tatiara (DC),Rented: Private and not stated,54,80,87,87
Tatiara (DC),Rented: Other landlord,8,11,14,14
Tatiara (DC),Rented: TOTAL,79,111,121,121
Tatiara (DC),Other tenure types,0,0,0,0
Tatiara (DC),Total households,141,226,303,352
Tea Tree Gully (C),Being purchased (incl rent/buy),473,1107,2552,5056
Tea Tree Gully (C),Rented: Public,390,494,516,516
Tea Tree Gully (C),Rented: Private and not stated,698,1356,2057,2140
Tea Tree Gully (C),Rented: Other landlord,107,132,157,160
Tea Tree Gully (C),Rented: TOTAL,1195,1982,2730,2816
Tea Tree Gully (C),Other tenure types,0,0,0,0
Tea Tree Gully (C),Total households,1668,3089,5282,7872
The Coorong (DC),Being purchased (incl rent/buy),58,107,148,176
The Coorong (DC),Rented: Public,9,12,12,12
The Coorong (DC),Rented: Private and not stated,71,77,77,80
The Coorong (DC),Rented: Other landlord,15,15,15,15
The Coorong (DC),Rented: TOTAL,95,104,104,107
The Coorong (DC),Other tenure types,0,0,0,0
The Coorong (DC),Total households,153,211,252,283
Tumby Bay (DC),Being purchased (incl rent/buy),20,38,56,73
Tumby Bay (DC),Rented: Public,6,6,6,6
Tumby Bay (DC),Rented: Private and not stated,46,61,61,61
Tumby Bay (DC),Rented: Other landlord,16,20,20,20
Tumby Bay (DC),Rented: TOTAL,68,87,87,87
Tumby Bay (DC),Other tenure types,0,0,0,0
Tumby Bay (DC),Total households,88,125,143,160
Unley (C),Being purchased (incl rent/buy),134,215,470,1448
Unley (C),Rented: Public,137,153,153,153
Unley (C),Rented: Private and not stated,549,943,1405,1601
Unley (C),Rented: Other landlord,101,122,128,128
Unley (C),Rented: TOTAL,787,1218,1686,1882
Unley (C),Other tenure types,0,0,0,0
Unley (C),Total households,921,1433,2156,3330
Victor Harbor (C),Being purchased (incl rent/buy),93,194,370,563
Victor Harbor (C),Rented: Public,19,19,19,19
Victor Harbor (C),Rented: Private and not stated,314,496,590,590
Victor Harbor (C),Rented: Other landlord,37,42,42,42
Victor Harbor (C),Rented: TOTAL,370,557,651,651
Victor Harbor (C),Other tenure types,0,0,0,0
Victor Harbor (C),Total households,463,751,1021,1214
Wakefield (DC),Being purchased (incl rent/buy),76,143,205,246
Wakefield (DC),Rented: Public,4,4,4,4
Wakefield (DC),Rented: Private and not stated,86,128,137,137
Wakefield (DC),Rented: Other landlord,13,17,20,20
Wakefield (DC),Rented: TOTAL,103,149,161,161
Wakefield (DC),Other tenure types,0,0,0,0
Wakefield (DC),Total households,179,292,366,407
Walkerville (M),Being purchased (incl rent/buy),26,43,76,227
Walkerville (M),Rented: Public,54,59,59,59
Walkerville (M),Rented: Private and not stated,63,108,155,198
Walkerville (M),Rented: Other landlord,17,21,21,21
Walkerville (M),Rented: TOTAL,134,188,235,278
Walkerville (M),Other tenure types,0,0,0,0
Walkerville (M),Total households,160,231,311,505
Wattle Range (DC),Being purchased (incl rent/buy),134,233,342,455
Wattle Range (DC),Rented: Public,63,69,69,73
Wattle Range (DC),Rented: Private and not stated,174,219,224,224
Wattle Range (DC),Rented: Other landlord,28,28,28,28
Wattle Range (DC),Rented: TOTAL,265,316,321,325
Wattle Range (DC),Other tenure types,0,0,0,0
Wattle Range (DC),Total households,399,549,663,780
West Torrens (C),Being purchased (incl rent/buy),253,502,1136,2320
West Torrens (C),Rented: Public,372,444,461,461
West Torrens (C),Rented: Private and not stated,1151,1876,2619,2780
West Torrens (C),Rented: Other landlord,202,256,300,305
West Torrens (C),Rented: TOTAL,1725,2576,3380,3546
West Torrens (C),Other tenure types,0,0,0,0
West Torrens (C),Total households,1978,3078,4516,5866
Whyalla (C),Being purchased (incl rent/buy),167,306,501,773
Whyalla (C),Rented: Public,600,689,689,689
Whyalla (C),Rented: Private and not stated,296,427,483,486
Whyalla (C),Rented: Other landlord,30,39,42,42
Whyalla (C),Rented: TOTAL,926,1155,1214,1217
Whyalla (C),Other tenure types,0,0,0,3
Whyalla (C),Total households,1093,1461,1715,1993
Wudinna (DC),Being purchased (incl rent/buy),6,12,15,25
Wudinna (DC),Rented: Public,3,3,3,3
Wudinna (DC),Rented: Private and not stated,6,6,6,6
Wudinna (DC),Rented: Other landlord,0,0,0,0
Wudinna (DC),Rented: TOTAL,9,9,9,9
Wudinna (DC),Other tenure types,0,0,0,0
Wudinna (DC),Total households,15,21,24,34
Yankalilla (DC),Being purchased (incl rent/buy),48,94,154,230
Yankalilla (DC),Rented: Public,0,0,0,0
Yankalilla (DC),Rented: Private and not stated,110,164,177,183
Yankalilla (DC),Rented: Other landlord,11,14,14,14
Yankalilla (DC),Rented: TOTAL,121,178,191,197
Yankalilla (DC),Other tenure types,0,0,0,0
Yankalilla (DC),Total households,169,272,345,427
Yorke Peninsula (DC),Being purchased (incl rent/buy),99,183,278,316
Yorke Peninsula (DC),Rented: Public,25,32,32,32
Yorke Peninsula (DC),Rented: Private and not stated,164,215,231,231
Yorke Peninsula (DC),Rented: Other landlord,20,23,23,23
Yorke Peninsula (DC),Rented: TOTAL,209,270,286,286
Yorke Peninsula (DC),Other tenure types,0,0,0,0
Yorke Peninsula (DC),Total households,308,453,564,602
